"Review";"Review"
"Reviews";"Reviews"
"review";"review";"reviews"
"Reviews Plugin";"Reviews Plugin"


# plurals
"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%1$s like";"%1$s like";"%1$s likes"
"%s helpful";"%s helpful";"%s helpfuls"
"%s recommend";"%s recommend";"%s recommends"
"%s review";"%s review";"%s reviews"
"%s star";"%s star";"%s stars"

"%1$s%% helpful (%2$s vote)";"%1$s%% helpful (%2$s vote)";"%1$s%% helpful (%2$s votes)"
"No vote";"No vote"

"ITEM_TYPE_REVIEW";"Reviews"

"ADMIN_ACTIVITY_TYPE_REVIEW_NEW";"When a new review is posted."
"ADMIN_ACTIVITY_TYPE_LIKE_REVIEW";"When someone likes one of my review postings."
"ADMIN_ACTIVITY_TYPE_LIKED_REVIEW";"When someone comments on an review posting I liked."
"ADMIN_ACTIVITY_TYPE_COMMENT_REVIEW";"When someone comments on my review."
"ADMIN_ACTIVITY_TYPE_COMMENTED_REVIEW";"When someone comments on an review I commented on."
"ADMIN_ACTIVITY_TYPE_HAS_POSTED_REVIEW";"When someone posts a review about me."

"_ACTIVITY_ACTIONTYPE_REVIEW_NEW";"New reviews"
"_ACTIVITY_ACTIONTYPE_COMMENT_REVIEW";"Comments on your reviews"

"ACTIVITY_TYPE_HAS_POSTED_REVIEW";"When someone posts a review about me."
"ACTIVITY_TYPE_COMMENTED_REVIEW";"When someone comments on a review I commented on."
"ACTIVITY_TYPE_COMMENT_REVIEW";"When someone comments on one of my reviews."
"ACTIVITY_TYPE_LIKED_REVIEW";"When someone comments on a review I liked."
"ACTIVITY_TYPE_LIKE_REVIEW";"When someone likes one of my reviews."

# activity feeds
"{item:$subject} posted a new review:";"{item:$subject} posted a new review:"
"{item:$subject} commented on {item:$owner}''s {item:$object:review}: {body:$body}";"{item:$subject} commented on {item:$owner}''s {item:$object:review}: {body:$body}"
"{item:$subject} has commented on your {item:$object:review}.";"{item:$subject} has commented on your {item:$object:review}."
"{item:$subject} likes your {item:$object:review}.";"{item:$subject} likes your {item:$object:review}."
"{item:$subject} has commented on a {item:$object:review} you commented on.";"{item:$subject} has commented on a {item:$object:review} you commented on."
"{item:$subject} has commented on a {item:$object:review} you liked.";"{item:$subject} has commented on a {item:$object:review} you liked."
